iter	RMSE
0	157388.8918
1	148406.5444
2	138689.652
3	130232.5865
4	122688.293
5	116017.7195
6	109806.5008
7	104516.5046
8	100178.5489
9	95641.80059
10	91593.0754
11	88183.68994
12	84735.22301
13	81667.76676
14	79044.76999
15	76873.58634
16	74853.00813
17	73113.85134
18	71575.17675
19	70140.49012
20	68965.67568
21	67953.45583
22	67050.56666
23	66260.02441
24	65601.97969
25	64896.26948
26	64216.63612
27	63561.964
28	63122.63646
29	62520.97935
30	62122.76307
31	61712.45836
32	61342.55499
33	61019.0614
34	60650.47556
35	60342.65618
36	59933.93155
37	59675.23847
38	59519.67168
39	59336.54308
40	59140.24117
41	58883.70519
42	58696.04352
43	58506.13943
44	58260.08782
45	58065.84053
46	57867.89982
47	57597.88171
48	57374.27394
49	57209.05552
50	56963.50011
51	56716.80567
52	56545.36653
53	56354.2299
54	56202.53288
55	56030.33667
56	55878.28792
57	55728.61894
58	55594.58337
59	55480.73388
60	55280.1866
61	55136.62791
62	54989.74674
63	54799.26151
64	54637.48319
65	54541.7057
66	54367.91926
67	54241.62795
68	54072.51244
69	53900.20277
70	53809.05906
71	53685.51891
72	53435.153
73	53340.29376
74	53161.06109
75	53048.37655
76	52972.38177
77	52838.17333
78	52761.54147
79	52697.51737
80	52645.30266
81	52492.71227
82	52363.64155
83	52261.32653
84	52111.03483
85	52038.73
86	51822.55166
87	51751.31428
88	51515.81482
89	51369.0904
90	51300.3011
91	51245.35617
92	51060.45293
93	50985.95286
94	50835.11001
95	50700.04277
96	50653.06953
97	50541.75551
98	50430.12075
99	50225.47126
