iter	Passed	Remaining
0	1	128
1	2	112
2	3	103
3	3	94
4	4	88
5	5	85
6	6	84
7	7	82
8	7	79
9	8	78
10	9	76
11	10	75
12	11	73
13	11	73
14	12	71
15	13	70
16	14	71
17	15	72
18	17	72
19	18	72
20	19	71
21	20	71
22	20	69
23	21	68
24	22	67
25	23	66
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	50
41	36	49
42	36	48
43	37	48
44	38	47
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	44	39
53	45	38
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	50	33
60	51	32
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	26
68	58	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	63	20
76	64	19
77	65	18
78	66	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	70	12
85	71	11
86	72	10
87	73	10
88	74	9
89	75	8
90	76	7
91	76	6
92	77	5
93	78	5
94	79	4
95	80	3
96	81	2
97	81	1
98	82	0
99	83	0
